title,description,skills,salary,experience,location,country,work_type,company,date_posted,all_skills_str,skill_count,cluster,cluster_name,dominant_topic,dominant_topic_name
Data Scientist,"Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation,$60K-$87K,4 to 15 Years,Moscow,Russia,Temporary,Nike,2022-06-28,"machine learning, python, deep learning",3,2,Marketing & Architecture,0,Engineering & Systems
QA Analyst,"Software QA Testers ensure the quality of software products by designing and executing test cases, identifying defects, and reporting issues to developers. They play a critical role in ensuring software reliability and functionality.","Software quality assurance Test planning Test case design Test execution Defect tracking Test automation (e.g., Selenium)",$64K-$102K,4 to 9 Years,Kinshasa,Democratic Republic Of Congo,Full-Time,VMware,2021-12-22,reporting,1,1,Software Development,3,UI/UX Design
Software Developer,Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.,"Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting",$56K-$96K,4 to 9 Years,Jerusalem,Israel,Full-Time,Hyatt Hotels Corporation,2021-10-31,"swift, mobile, app development, java, flutter, react, react native, kotlin",8,0,Design & UI/UX,2,Application Development
Graphic Designer,"Web Graphic Designers create visually appealing graphics, images, and layouts for websites. They work closely with web developers and UI/UX designers to ensure that web content is aesthetically pleasing, on-brand, and engaging to users.","Graphic design tools (e.g., Adobe Creative Suite) Web design principles User interface (UI) design Visual communication Typography Creativity and artistic skills",$62K-$89K,2 to 11 Years,Beirut,Lebanon,Intern,Travelers,2021-10-15,"communication, graphic design, user interface, adobe, creativity",5,0,Design & UI/UX,3,UI/UX Design
Chemical Analyst,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis,$63K-$119K,3 to 15 Years,Harare,Zimbabwe,Part-Time,Mindtree Limited,2022-07-13,"documentation, compliance",2,2,Marketing & Architecture,3,UI/UX Design
Mechanical Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification,$55K-$124K,5 to 14 Years,Yaounde,Cameroon,Part-Time,Commerzbank AG,2022-10-09,,0,2,Marketing & Architecture,3,UI/UX Design
Network Engineer,"Wireless Network Engineers design, implement, and maintain wireless network solutions. They optimize wireless connectivity, troubleshoot issues, and ensure reliable and secure wireless communications.",Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues,$57K-$125K,0 to 12 Years,Windhoek,Namibia,Full-Time,Erie Insurance Group,2021-09-22,"communication, wireless, security, network design",4,4,Network & Security,4,Network & Security
Architectural Designer,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented,$55K-$104K,3 to 9 Years,N'Djamena,Chad,Intern,Whitehaven Coal,2022-08-21,collaboration,1,2,Marketing & Architecture,4,Network & Security
Systems Engineer,"The role of a Systems Integration Specialist involves integrating various software and hardware components to create cohesive systems. You will design and implement solutions that enable different systems to communicate and work together seamlessly. Your responsibilities also include troubleshooting integration issues, ensuring data consistency, and collaborating with cross-functional teams.",Systems integration Integration architecture Data mapping Middleware technologies API integration System testing Troubleshooting,$65K-$120K,4 to 12 Years,Funafuti,Tuvalu,Intern,Associated British Foods,2023-02-21,,0,2,Marketing & Architecture,2,Application Development
Web Designer,"Frontend Web Designers create the visual elements and user interfaces of websites. They use HTML, CSS, and JavaScript to design responsive, user-friendly web pages, ensuring a seamless and visually appealing online experience.",Frontend web development HTML/CSS Responsive design User interface (UI) design Adobe Creative Suite Collaboration skills,$59K-$111K,1 to 11 Years,Paris,France,Full-Time,Block,2023-03-17,"frontend, javascript, user interface, adobe, collaboration, web development, html",7,0,Design & UI/UX,3,UI/UX Design
Architect,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.",Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,$59K-$108K,5 to 13 Years,Ṣo Tom̩,Sao Tome and Principe,Temporary,Xiaomi Corporation,2022-01-27,,0,2,Marketing & Architecture,2,Application Development
Systems Analyst,"An IT Analyst assesses and analyzes IT systems, identifying areas for improvement, implementing technology solutions, and providing technical support to users and departments.",IT systems analysis Troubleshooting IT support and documentation,$58K-$103K,2 to 15 Years,Riyadh,Saudi Arabia,Part-Time,Progressive,2022-11-15,documentation,1,2,Marketing & Architecture,4,Network & Security
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$58K-$83K,2 to 15 Years,Pretoria,South Africa,Intern,ON Semiconductor,2022-03-03,"infrastructure, security, network security",3,4,Network & Security,4,Network & Security
Market Analyst,Competitive Intelligence Analysts gather data on competitors and industry trends. They analyze information to help businesses make informed decisions and gain a competitive edge.,Competitive analysis Market research Data analysis Business strategy Industry knowledge,$65K-$103K,3 to 11 Years,Lilongwe,Malawi,Full-Time,Mindtree Limited,2022-03-07,data analysis,1,3,Data & Analytics,1,Data & Business Analytics
QA Analyst,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.",Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis,$60K-$127K,3 to 8 Years,San Marino,San Marino,Full-Time,Coterra Energy,2022-09-27,,0,1,Software Development,5,Testing & Performance
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",$58K-$126K,4 to 10 Years,Mbabane,Eswatini,Temporary,Dominion Energy,2023-07-26,"graphic design, user interface, photoshop, adobe, illustrator",5,0,Design & UI/UX,3,UI/UX Design
